position,title
Q19058289,President
Q20551579,Prime Minister
Q114667916,Minister of Agriculture
Q114667368,Minister of Defence
Q114667918,Minister of Education
Q114667922,Minister of Finance
Q976210,Minister of Foreign Affairs
Q112625076,Minister of Health
Q114667927,Minister of Infrastructure
Q114667375,Minister of Justice
Q114667929,Minister of Labour
Q114667827,Minister of Parliamentary Affairs
Q114667925,Minister of the Presidency of the Council of Ministers
Q114667928,Minister of Tourism
Q115277412,Minister of Women's Rights
Q114667920,Minister of Youth and Sport
Q114667941,Secretary of State for Commerce
Q114667932,Secretary of State for Public Works
Q114667936,Secretary of State for Social Communication
